dataset,model,reported_dr_pct,reported_fa_pct,reported_precision_pct,balanced_expected_precision_pct,precision_gap_pp,balanced_rounding_precision_min_pct,balanced_rounding_precision_max_pct,balanced_rounding_feasible,implied_positive_prevalence_pct
SGCC,FC-SAE,83.0,14.0,83.0,85.56701030927834,-2.567010309278345,85.05154639175258,86.08247422680412,False,45.16129032258064
SGCC,LSTM-SAE,86.0,12.0,87.0,87.75510204081633,-0.7551020408163254,87.24489795918367,88.26530612244898,True,48.28862164662349
SGCC,FC-VAE,90.0,9.0,91.0,90.90909090909092,0.09090909090907928,90.40404040404042,91.41414141414141,True,50.27624309392266
SGCC,LSTM-VAE,93.0,6.0,93.0,93.93939393939394,-0.9393939393939377,93.43434343434343,94.44444444444444,True,46.15384615384617
SGCC,LSTM-AEA,96.0,4.0,95.0,96.0,-1.0,95.5,96.5,True,44.18604651162788
SGCC,Naive Bayes,75.0,16.0,75.0,82.41758241758241,-7.417582417582409,81.86813186813187,82.96703296703296,False,39.02439024390244
SGCC,ARIMA,88.0,10.0,87.0,89.79591836734694,-2.7959183673469425,89.28571428571429,90.3061224489796,False,43.197616683217475
SGCC,Single-class SVM,91.0,8.5,90.0,91.45728643216081,-1.4572864321608137,90.95477386934674,91.95979899497488,False,45.671641791044784
SGCC,Feed forward,91.0,9.5,90.0,90.54726368159203,-0.5472636815920282,90.04975124378109,91.04477611940298,True,48.44192634560907
SGCC,LSTM,91.5,9.0,90.5,91.04477611940298,-0.5447761194029823,90.54726368159203,91.54228855721392,True,48.37416481069043
SGCC,Multi-class SVM,92.0,7.5,91.0,92.46231155778895,-1.4623115577889507,91.95979899497488,92.96482412060301,False,45.18371400198611
ISET,FC-SAE,81.0,15.0,81.0,84.375,-3.375,83.85416666666666,84.89583333333333,False,44.117647058823536
ISET,LSTM-SAE,85.0,13.0,85.0,86.73469387755102,-1.7346938775510239,86.22448979591837,87.24489795918367,False,46.42857142857143
ISET,FC-VAE,88.0,11.0,89.0,88.8888888888889,0.11111111111110006,88.38383838383838,89.39393939393939,True,50.282485875706215
ISET,LSTM-VAE,91.0,7.0,91.0,92.85714285714286,-1.8571428571428612,92.34693877551021,93.36734693877553,False,43.750000000000014
ISET,LSTM-AEA,94.0,5.0,93.0,94.94949494949495,-1.949494949494948,94.44444444444444,95.45454545454545,False,41.40694568121106
ISET,Naive Bayes,73.0,18.0,73.0,80.21978021978022,-7.219780219780219,79.67032967032968,80.76923076923077,False,40.0
ISET,ARIMA,86.0,12.0,86.0,87.75510204081633,-1.7551020408163254,87.24489795918367,88.26530612244898,False,46.15384615384615
ISET,Single-class SVM,90.0,9.0,89.0,90.90909090909092,-1.9090909090909207,90.40404040404042,91.41414141414141,False,44.72361809045226
ISET,Feed forward,90.0,11.0,89.0,89.10891089108911,-0.1089108910891099,88.61386138613861,89.60396039603961,True,49.720670391061454
ISET,LSTM,90.5,10.0,89.5,90.04975124378109,-0.5497512437810883,89.55223880597015,90.54726368159203,True,48.50291288443301
ISET,Multi-class SVM,91.0,8.0,90.0,91.91919191919192,-1.919191919191917,91.41414141414141,92.42424242424244,False,44.17177914110431
